02:07:50.618 [http-nio-8080-exec-1] INFO  o.apache.juli.logging.DirectJDKLog.log 173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
02:07:50.619 [http-nio-8080-exec-1] INFO  o.s.web.servlet.FrameworkServlet.initServletBean 532 - Initializing Servlet 'dispatcherServlet'
02:07:50.620 [http-nio-8080-exec-1] INFO  o.s.web.servlet.FrameworkServlet.initServletBean 554 - Completed initialization in 1 ms
02:07:50.644 [http-nio-8080-exec-1] INFO  c.k.b.s.filter.JwtRequestFilter.doFilterInternal 64 - /api/v1.0/auth/login
02:07:50.880 [http-nio-8080-exec-1] ERROR c.k.b.e.GlobalExceptionHandler.applicationException 194 - 401 UNAUTHORIZED "user not found"
02:40:45.170 [SpringApplicationShutdownHook] INFO  o.s.o.j.AbstractEntityManagerFactoryBean.destroy 650 - Closing JPA EntityManagerFactory for persistence unit 'default'
02:40:45.172 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource.close 349 - HikariPool-1 - Shutdown initiated...
02:40:45.545 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource.close 351 - HikariPool-1 - Shutdown completed.
00:30:24.977 [background-preinit] INFO  o.h.validator.internal.util.Version.<clinit> 21 - HV000001: Hibernate Validator 8.0.1.Final
00:30:25.036 [main] INFO  o.s.boot.StartupInfoLogger.logStarting 50 - Starting BankingAppsApplication using Java 21.0.4 with PID 18045 (/home/n9mi/Documents/src/synergy/BE-Java/target/classes started by n9mi in /home/n9mi/Documents/src/synergy/BE-Java)
00:30:25.037 [main] INFO  o.s.boot.SpringApplication.logStartupProfileInfo 654 - No active profile set, falling back to 1 default profile: "default"
00:30:26.104 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn 143 - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
00:30:26.196 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn 211 - Finished Spring Data repository scanning in 84 ms. Found 7 JPA repository interfaces.
00:30:27.033 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize 111 - Tomcat initialized with port 8080 (http)
00:30:27.045 [main] INFO  o.apache.juli.logging.DirectJDKLog.log 173 - Initializing ProtocolHandler ["http-nio-8080"]
00:30:27.048 [main] INFO  o.apache.juli.logging.DirectJDKLog.log 173 - Starting service [Tomcat]
